Column1,id_user,id_post,date,time,half_day,views,reposts,likes,comments,id_post_origin,link_clicks,donation_tag,donation_val,house_buy
0,672702,638779430,09/11/2017,07:53,am,2,18,0,0,0,TRUE,FALSE,0,FALSE
1,474227,953043456,09/11/2017,02:03,am,36,11,16,1,0,TRUE,FALSE,0,FALSE
2,587566,650889385,09/11/2017,02:57,am,59,11,8,1,0,TRUE,FALSE,0,FALSE
3,483543,144265898,09/11/2017,11:43,am,21,14,9,2,0,TRUE,FALSE,0,FALSE
4,394103,955542283,09/11/2017,04:53,pm,16,3,2,0,638779430,FALSE,FALSE,0,FALSE
5,866330,723527339,09/11/2017,11:16,pm,23,8,6,0,650889385,FALSE,FALSE,0,FALSE
6,537720,662638612,09/11/2017,07:56,pm,31,10,7,1,144265898,FALSE,FALSE,0,FALSE
7,993508,547874736,09/11/2017,08:15,pm,39,8,3,2,638779430,FALSE,FALSE,0,FALSE
8,695586,823986367,09/11/2017,03:38,pm,7,8,3,0,650889385,FALSE,FALSE,0,FALSE
9,391533,938483485,09/11/2017,09:41,pm,66,7,23,3,638779430,TRUE,FALSE,0,FALSE
10,884135,855036767,09/11/2017,04:00,pm,31,11,3,0,638779430,FALSE,FALSE,0,FALSE
11,386018,948983044,09/11/2017,12:12,pm,17,6,4,0,144265898,FALSE,FALSE,0,FALSE
12,275395,814088954,09/11/2017,00:50,pm,7,2,0,0,144265898,FALSE,FALSE,0,FALSE
13,715640,367474713,09/11/2017,12:42,pm,74,6,11,5,638779430,FALSE,FALSE,0,FALSE
14,517595,997125666,09/11/2017,08:12,pm,143,10,71,8,144265898,FALSE,FALSE,0,FALSE
15,848006,972167608,09/11/2017,01:21,pm,121,11,36,7,953043456,FALSE,FALSE,0,FALSE
16,945861,774651272,09/11/2017,10:07,pm,68,7,27,6,638779430,FALSE,FALSE,0,FALSE
17,937222,991154137,09/11/2017,08:41,pm,183,6,36,14,953043456,FALSE,FALSE,0,FALSE
18,552361,834132714,09/11/2017,02:35,pm,43,7,15,3,953043456,FALSE,FALSE,0,FALSE
19,717039,509376048,09/11/2017,12:21,pm,43,5,17,0,953043456,FALSE,FALSE,0,FALSE
20,485673,844989061,09/11/2017,00:01,pm,32,12,14,2,953043456,FALSE,FALSE,0,FALSE
21,635537,156553588,09/11/2017,04:12,pm,153,8,30,3,953043456,FALSE,FALSE,0,FALSE
22,575965,206521432,09/11/2017,00:10,pm,33,5,9,2,638779430,FALSE,FALSE,0,FALSE
23,428655,760062606,09/11/2017,10:46,pm,87,14,4,6,953043456,FALSE,FALSE,0,FALSE
24,589484,297176418,09/11/2017,08:13,pm,76,8,11,0,650889385,FALSE,FALSE,0,FALSE
25,469342,620222338,09/11/2017,00:10,pm,158,10,31,15,144265898,FALSE,FALSE,0,FALSE
26,925025,194393365,09/11/2017,05:20,pm,67,10,13,6,638779430,FALSE,FALSE,0,FALSE
